,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,0.2,0.0,0.0,1.0,-0.8,-0.8,0.4
1,0.2,0.0,0.0,-0.2,0.0,-0.4,0.4
2,0.2,0.4,-0.6,0.6,-0.2,0.0,-0.4
3,0.6,-0.8,-0.6,0.0,0.8,-0.2,0.2
4,0.0,0.0,-0.2,0.0,0.6,0.0,-0.4
5,0.2,0.0,-0.4,0.2,-0.8,0.0,0.8
6,-0.4,0.2,0.0,0.4,-0.6,0.0,0.4
7,0.0,-0.4,-1.0,0.6,0.0,0.2,0.6
8,1.0,0.6,-1.0,0.2,-0.2,-0.6,0.0
9,0.4,0.0,-0.6,0.6,-0.6,0.0,0.2
10,-0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333
11,0.6666666666666666,0.0,-1.0,0.0,0.0,1.0,-0.6666666666666666
12,0.6666666666666666,0.6666666666666666,-1.0,0.0,-0.6666666666666666,0.6666666666666666,-0.3333333333333333
13,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.3333333333333333
14,0.3333333333333333,1.0,-1.0,0.0,0.3333333333333333,0.0,-0.6666666666666666
15,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0
16,1.0,0.3333333333333333,-0.6666666666666666,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.0
17,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,-1.0,-0.6666666666666666
18,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
19,0.0,1.0,0.0,0.0,-0.6666666666666666,0.3333333333333333,-0.6666666666666666
20,0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.0
21,1.0,0.0,-1.0,-0.3333333333333333,-0.3333333333333333,0.0,0.6666666666666666
22,0.3333333333333333,-0.3333333333333333,-1.0,1.0,0.0,0.0,0.0
23,1.0,-0.3333333333333333,0.0,-0.3333333333333333,-0.6666666666666666,0.0,0.3333333333333333
24,0.0,1.0,-0.3333333333333333,0.3333333333333333,-1.0,0.0,0.0
25,0.0,0.6666666666666666,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,-0.3333333333333333,0.0
26,0.3333333333333333,-0.6666666666666666,-0.6666666666666666,0.0,0.3333333333333333,1.0,-0.3333333333333333
27,-0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.6666666666666666
28,0.3333333333333333,0.0,-1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
29,-0.3333333333333333,-0.6666666666666666,0.0,0.0,-0.3333333333333333,0.3333333333333333,1.0
30,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
31,1.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333
